Property Names,Brand,State,Location,Property type,Pet-friendly,Factsheets,Status,Factsheet SPOC,Updated,OTA Listing Content,Unnamed: 11,Website content Website Amenities,Status.1,Brochure Content,Status.2,Website live Status,Brochure Design (Branded) link,Brochure Design (Branded) Bitly Link,Status.3,Remarks,Brochure_Branded | Verification,"Brochure Design 
(Non-Branded) Link",Brochure Design (Non-Branded) Bitly Link,Status.4,"Home Guide
(Content)","Home Guide
(Design)",Remarks.1,Brochure_Non Branded | Verification,Set Menu (Branded),Set Menu,"Walk-Through Videos 
(Branded) links",Non-branded Walkthrough links,"Walk-Through Videos 
(Non-Branded) links",Non-Branded photo drive links,Unnamed: 35,Raw Photoshoot,Photo Drive Link,3D Tour,Reels,ID,Price,Email
Pearl VillasAssagao Unit 243,ELIVAAS,Goa,Assagao,4-BHK Villa,No,Pearl VillasAssagao Unit 243 Factsheet.docx,Yes,,,"SHELLS, C-7 Listing Content",Done,PINKSKY WEBSITE CONTENT,Done,PEARL VILLASASSAGAO UNIT 243 BROCHURE.docx,Done,Done,Elivaas_Dahlia_Detailed Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Pearl VillasAssagao Unit 243 - HOME GUIDE.pdf,Pearl VillasAssagao Unit 243 - HOME GUIDE.pdf,Good To Go,,Pearl VillasAssagao Unit 243 - Set Menu.pdf,Pearl VillasAssagao Unit 243 - Set Menu.pdf,Indah Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3OHjKYm,Dahlia,,"Risaia, nerul",https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",413.0,19000.0,contact413@elivaas.com
Horizon Meadows at Nerul Unit 303,ELIVAAS,Goa,Nerul,3-BHK Villa,No,Horizon Meadows at Nerul Unit 303 Factsheet.docx,Yes,,,PANACHE Listing Content,Done,PINKSKY WEBSITE CONTENT,Done,HORIZON MEADOWS AT NERUL UNIT 303 BROCHURE.docx,Done,Done,ELIVAAS_Bludoor_Detailed Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1OS4E0017_Detailed Brochure .pdf,https://bit.ly/48gl0cp,Done,Horizon Meadows at Nerul Unit 303 - HOME GUIDE.pdf,Horizon Meadows at Nerul Unit 303 - HOME GUIDE.pdf,Good To Go,,Horizon Meadows at Nerul Unit 303 - Set Menu.pdf,Horizon Meadows at Nerul Unit 303 - Set Menu.pdf,Dahlia Walkthrough.mp4,Bludoor Walkthrough.mp4,G1BR5E0011.mp4,https://bit.ly/3SwlswI,Cloud 7  Cove,,"Risaia, nerul",https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",414.0,17500.0,contact414@elivaas.com
Emerald Grove at Assagao Unit 886,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Emerald Grove at Assagao Unit 886 Factsheet.docx,Yes,,,"TROPICAL, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,EMERALD GROVE AT ASSAGAO UNIT 886 BROCHURE.docx,Done,Done,ELIVAAS_Risaia_Detailed Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1PE3E0018_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Emerald Grove at Assagao Unit 886 - HOME GUIDE.pdf,Emerald Grove at Assagao Unit 886 - HOME GUIDE.pdf,Good To Go,,Emerald Grove at Assagao Unit 886 - Set Menu.pdf,Emerald Grove at Assagao Unit 886 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Dahlia Walkthrough.mp4,G1LN4E0067.mp4,https://bit.ly/3SHbjNQ,Dahlia,,Villa 6,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",415.0,10000.0,contact415@elivaas.com
Cedar GroveArpora Unit 757,ELIVAAS,Goa,Vagator,4-BHK Villa,No,Cedar GroveArpora Unit 757 Factsheet.docx,Yes,,,"CORAL, C-7 Listing Content",Done,PINKSKY WEBSITE CONTENT,Done,CEDAR GROVEARPORA UNIT 757 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1BR5E0011_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Cedar GroveArpora Unit 757 - HOME GUIDE.pdf,Cedar GroveArpora Unit 757 - HOME GUIDE.pdf,Good To Go,,Cedar GroveArpora Unit 757 - Set Menu.pdf,Cedar GroveArpora Unit 757 - Set Menu.pdf,Panache Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3uEuOP6,Opalys,,Indah_4bhk_Moira,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",416.0,13500.0,contact416@elivaas.com
Emerald Grove at Vagator Unit 1058,ELIVAAS,Goa,Arpora,4-BHK Villa,Pet-friendly,Emerald Grove at Vagator Unit 1058 Factsheet.docx,Yes,,,DAHLIA Listing Content,Done,PINKSKY WEBSITE CONTENT,Done,EMERALD GROVE AT VAGATOR UNIT 1058 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1BR5E0011_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Emerald Grove at Vagator Unit 1058 - HOME GUIDE.pdf,Emerald Grove at Vagator Unit 1058 - HOME GUIDE.pdf,Good To Go,,Emerald Grove at Vagator Unit 1058 - Set Menu.pdf,Emerald Grove at Vagator Unit 1058 - Set Menu.pdf,Celest Walkthrough.mp4,Celeste Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3I0Yady,Dahlia,,Pinksky,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",417.0,24500.0,contact417@elivaas.com
Golden Villas in Assagao Unit 790,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Golden Villas in Assagao Unit 790 Factsheet.docx,Yes,,,OPALYS Listing Content,Done,PINKSKY WEBSITE CONTENT,Done,GOLDEN VILLAS IN ASSAGAO UNIT 790 BROCHURE.docx,Done,Done,ELIVAAS_Bludoor_Detailed Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1DA4E0013_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Golden Villas in Assagao Unit 790 - HOME GUIDE.pdf,Golden Villas in Assagao Unit 790 - HOME GUIDE.pdf,Good To Go,,Golden Villas in Assagao Unit 790 - Set Menu.pdf,Golden Villas in Assagao Unit 790 - Set Menu.pdf,Dahlia Walkthrough.mp4,Dahlia Walkthrough.mp4,G1IH4E0015.MP4,https://bit.ly/49e4f2u,Cloud 7  Coral,,Pinksky,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",418.0,14500.0,contact418@elivaas.com
Golden Towers in Nerul Unit 787,ELIVAAS,Goa,Vagator,4-BHK Villa,No,Golden Towers in Nerul Unit 787 Factsheet.docx,Yes,,,"TROPICAL, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,GOLDEN TOWERS IN NERUL UNIT 787 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Golden Towers in Nerul Unit 787 - HOME GUIDE.pdf,Golden Towers in Nerul Unit 787 - HOME GUIDE.pdf,Good To Go,,Golden Towers in Nerul Unit 787 - Set Menu.pdf,Golden Towers in Nerul Unit 787 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3SXluPD,Panache,,Villa 1,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/",419.0,14000.0,contact419@elivaas.com
Coral Haven at Moira Unit 767,ELIVAAS,Goa,Vagator,4-BHK Villa,No,Coral Haven at Moira Unit 767 Factsheet.docx,Yes,,,INDAH Listing Content,Done,PINKSKY WEBSITE CONTENT,Done,CORAL HAVEN AT MOIRA UNIT 767 BROCHURE.docx,Done,Done,ELIVAAS PinkSky_4-BHK_Detailed brochure.pdf,https://bit.ly/48cNunl,Done,Good To Go,,G1OS4E0017_Detailed Brochure .pdf,https://bit.ly/3uUzuQN,Done,Coral Haven at Moira Unit 767 - HOME GUIDE.pdf,Coral Haven at Moira Unit 767 - HOME GUIDE.pdf,Good To Go,,Coral Haven at Moira Unit 767 - Set Menu.pdf,Coral Haven at Moira Unit 767 - Set Menu.pdf,Celest Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1DA4E0013.mp4,https://bit.ly/3uwmAbQ,Cloud 7  Waves,,Tabra A2,https://bit.ly/3RxZ6MF,"https://www.instagram.com/p/C-hXq_CIxAc/, https://www.instagram.com/p/C9w_raXIWaY/, https://www.instagram.com/p/C7B_SKroR9O/",420.0,15000.0,contact420@elivaas.com
Crimson EstateMoira Unit 1013,ELIVAAS,Goa,Assagao,3-BHK Villa,No,Crimson EstateMoira Unit 1013 Factsheet.docx,Yes,,,OPALYS Listing Content,Done,PINKSKY WEBSITE CONTENT,Done,CRIMSON ESTATEMOIRA UNIT 1013 BROCHURE.docx,Done,Done,Elivaas_Lumin_4BHK_Detailed Brochure.pdf,https://bit.ly/3Tmu0bR,Done,Good To Go,,G1BR5E0011_Detailed Brochure.pdf,https://bit.ly/4afsCh9,Done,Crimson EstateMoira Unit 1013 - HOME GUIDE.pdf,Crimson EstateMoira Unit 1013 - HOME GUIDE.pdf,Good To Go,,Crimson EstateMoira Unit 1013 - Set Menu.pdf,Crimson EstateMoira Unit 1013 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3wbSM4N,Cloud 7  Coral,,Villa 6,https://bit.ly/3PXwhbn,https://www.instagram.com/p/DCy8HHXopBX/,421.0,18000.0,contact421@elivaas.com
Pearl CourtNerul Unit 966,ELIVAAS,Goa,Assagao,4-BHK Villa,No,Pearl CourtNerul Unit 966 Factsheet.docx,Yes,,,RISAIA Listing Content,Done,BLUDOOR WEBSITE SPACES SECTION,Done,PEARL COURTNERUL UNIT 966 BROCHURE.docx,Done,Done,ELIVAAS_Bauhinia_Detailed Brochure.pdf,https://bit.ly/3GGCfI0,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48ekI5J,Done,Pearl CourtNerul Unit 966 - HOME GUIDE.pdf,Pearl CourtNerul Unit 966 - HOME GUIDE.pdf,Good To Go,,Pearl CourtNerul Unit 966 - Set Menu.pdf,Pearl CourtNerul Unit 966 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Dahlia Walkthrough.mp4,G1RA4E0020.mp4,https://bit.ly/3UEVMkn,Bauhinia,,Panache - 3BHK Arpora,https://bit.ly/3RINKpj,"https://www.instagram.com/p/C9rKDfmo0zd/, https://www.instagram.com/p/C7yhdtCojw7/",422.0,14500.0,contact422@elivaas.com
Amber CourtMoira Unit 749,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Amber CourtMoira Unit 749 Factsheet.docx,Yes,,,BAUHINIA LISTING.docx,Done,PINKSKY WEBSITE CONTENT,Done,AMBER COURTMOIRA UNIT 749 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/3VzGRYY,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/3VyJrhP,Done,Amber CourtMoira Unit 749 - HOME GUIDE.pdf,Amber CourtMoira Unit 749 - HOME GUIDE.pdf,Good To Go,,Amber CourtMoira Unit 749 - Set Menu.pdf,Amber CourtMoira Unit 749 - Set Menu.pdf,Bauhinia Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/457ZLJB,Cloud 7  Tropical,,Villa 5,https://bit.ly/45fm0xi,"https://www.instagram.com/p/C-GiXVMSkuK/, https://www.instagram.com/p/C-Amt60vvk6/",423.0,10000.0,contact423@elivaas.com
Sapphire Meadows at Nerul Unit 313,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Sapphire Meadows at Nerul Unit 313 Factsheet.docx,Yes,,,PINKSKY LISTING CONTENT,Done,BLUDOOR WEBSITE SPACES SECTION,Done,SAPPHIRE MEADOWS AT NERUL UNIT 313 BROCHURE.docx,Done,Done,ELIVAAS PinkSky_4-BHK_Detailed brochure.pdf,https://bit.ly/3REl7sF,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/3BPwjx4,Done,Sapphire Meadows at Nerul Unit 313 - HOME GUIDE.pdf,Sapphire Meadows at Nerul Unit 313 - HOME GUIDE.pdf,Good To Go,,Sapphire Meadows at Nerul Unit 313 - Set Menu.pdf,Sapphire Meadows at Nerul Unit 313 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Bauhinia Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3SDeyG7,Opalys,,Panache - 3BHK Arpora,https://bit.ly/3AhJnek,https://www.instagram.com/p/C9uCCLUPWgr/,424.0,16500.0,contact424@elivaas.com
Cedar Towers at Vagator Unit 779,ELIVAAS,Goa,Vagator,3-BHK Villa,No,Cedar Towers at Vagator Unit 779 Factsheet.docx,Yes,,,"WAVES, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,CEDAR TOWERS AT VAGATOR UNIT 779 BROCHURE.docx,Done,Done,Elivaas_Indah_Detailed Brochure.pdf,https://bit.ly/4cZv37P,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/3Mo0wp9,Done,Cedar Towers at Vagator Unit 779 - HOME GUIDE.pdf,Cedar Towers at Vagator Unit 779 - HOME GUIDE.pdf,Good To Go,,Cedar Towers at Vagator Unit 779 - Set Menu.pdf,Cedar Towers at Vagator Unit 779 - Set Menu.pdf,Dahlia Walkthrough.mp4,Dahlia Walkthrough.mp4,G1CT4E0012.mp4,https://bit.ly/4dDGjYA,Cloud 7  Shells,,Opalys - 4 BHK Arpora,https://bit.ly/3UtTSlD,https://www.instagram.com/p/C-iXFaEC2jw/,425.0,24000.0,contact425@elivaas.com
Ivory Haven at Assagao Unit 811,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Ivory Haven at Assagao Unit 811 Factsheet.docx,Yes,,,OPALYS Listing Content,Done,BLUDOOR WEBSITE SPACES SECTION,Done,IVORY HAVEN AT ASSAGAO UNIT 811 BROCHURE.docx,Done,Done,ELIVAAS_Bauhinia_Detailed Brochure.pdf,https://bit.ly/3Tg6Bsu,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/3teiX9Y,Done,Ivory Haven at Assagao Unit 811 - HOME GUIDE.pdf,Ivory Haven at Assagao Unit 811 - HOME GUIDE.pdf,Good To Go,,Ivory Haven at Assagao Unit 811 - Set Menu.pdf,Ivory Haven at Assagao Unit 811 - Set Menu.pdf,Opalys.mp4,Bauhinia Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/4cXXLpE,Cloud 7  Cove,,Villa 6,https://bit.ly/3Q58OVP,https://www.instagram.com/p/DCqhrEhScle/ | https://www.instagram.com/p/C_lDDY-o8q7/ https://www.instagram.com/p/C-AwXOVSUj8/ | https://www.instagram.com/p/C9xA2Ahymi-/ https://www.instagram.com/p/C9t4rQhOpxF/ | https://www.instagram.com/p/C9C5uguJtwH/  https://www.instagram.com/p/C6TU16rJs8B/ | https://www.instagram.com/p/C6OeuNuMdEn/,426.0,18000.0,contact426@elivaas.com
Golden HavenArpora Unit 120,ELIVAAS,Goa,Vagator,4-BHK Villa,Pet-friendly,Golden HavenArpora Unit 120 Factsheet.docx,Yes,,,RISAIA Listing Content,Done,PINKSKY WEBSITE CONTENT,Done,GOLDEN HAVENARPORA UNIT 120 BROCHURE.docx,Done,Done,ELIVAAS_Bauhinia_Detailed Brochure.pdf,https://bit.ly/3LP3LWw,Done,Good To Go,,G1PE3E0018_Detailed Brochure.pdf,https://bit.ly/3RIMWjS,Done,Golden HavenArpora Unit 120 - HOME GUIDE.pdf,Golden HavenArpora Unit 120 - HOME GUIDE.pdf,Good To Go,,Golden HavenArpora Unit 120 - Set Menu.pdf,Golden HavenArpora Unit 120 - Set Menu.pdf,Panache Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/49cYrpY,Cloud 7  Shells,,Bauhinia 5BHK Assagao,https://bit.ly/3LV8hD8,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",427.0,13500.0,contact427@elivaas.com
Silver Villas in Nerul Unit 363,ELIVAAS,Goa,Vagator,4-BHK Villa,Pet-friendly,Silver Villas in Nerul Unit 363 Factsheet.docx,Yes,,,"SHORE, C-7 Listing Content",Done,PINKSKY WEBSITE CONTENT,Done,SILVER VILLAS IN NERUL UNIT 363 BROCHURE.docx,Done,Done,Elivaas_Lumin_4BHK_Detailed Brochure.pdf,https://bit.ly/3ti0FVm,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/3InBiFg,Done,Silver Villas in Nerul Unit 363 - HOME GUIDE.pdf,Silver Villas in Nerul Unit 363 - HOME GUIDE.pdf,Good To Go,,Silver Villas in Nerul Unit 363 - Set Menu.pdf,Silver Villas in Nerul Unit 363 - Set Menu.pdf,Celest Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/4bzVcKM,Cloud 7  Cove,,BluDoor,https://bit.ly/469uGol,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",428.0,17000.0,contact428@elivaas.com
Scarlet EstateAssagao Unit 745,ELIVAAS,Goa,Arpora,4-BHK Villa,Pet-friendly,Scarlet EstateAssagao Unit 745 Factsheet.docx,Yes,,,RISAIA Listing Content,Done,BLUDOOR WEBSITE SPACES SECTION,Done,SCARLET ESTATEASSAGAO UNIT 745 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/3ThQkmS,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/3TjceGl,Done,Scarlet EstateAssagao Unit 745 - HOME GUIDE.pdf,Scarlet EstateAssagao Unit 745 - HOME GUIDE.pdf,Good To Go,,Scarlet EstateAssagao Unit 745 - Set Menu.pdf,Scarlet EstateAssagao Unit 745 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1BA5E0010.mp4,https://bit.ly/49bkGg0,Cloud 7  Shore,,Villa 6,https://bit.ly/48un1CG,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",429.0,13000.0,contact429@elivaas.com
Serene Court at Moira Unit 410,ELIVAAS,Goa,Vagator,4-BHK Villa,Pet-friendly,Serene Court at Moira Unit 410 Factsheet.docx,Yes,,,BAUHINIA LISTING.docx,Done,BLUDOOR WEBSITE SPACES SECTION,Done,SERENE COURT AT MOIRA UNIT 410 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1LN4E0067_4BHK_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Serene Court at Moira Unit 410 - HOME GUIDE.pdf,Serene Court at Moira Unit 410 - HOME GUIDE.pdf,Good To Go,,Serene Court at Moira Unit 410 - Set Menu.pdf,Serene Court at Moira Unit 410 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1BA5E0010.mp4,https://bit.ly/3OHjKYm,Cloud 7  Cove,,Villa 7,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",430.0,11000.0,contact430@elivaas.com
Indigo Towers in Assagao Unit 543,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Indigo Towers in Assagao Unit 543 Factsheet.docx,Yes,,,OPALYS Listing Content,Done,PINKSKY WEBSITE CONTENT,Done,INDIGO TOWERS IN ASSAGAO UNIT 543 BROCHURE.docx,Done,Done,Elivaas_Dahlia_Detailed Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Indigo Towers in Assagao Unit 543 - HOME GUIDE.pdf,Indigo Towers in Assagao Unit 543 - HOME GUIDE.pdf,Good To Go,,Indigo Towers in Assagao Unit 543 - Set Menu.pdf,Indigo Towers in Assagao Unit 543 - Set Menu.pdf,Celest Walkthrough.mp4,Celeste Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3SwlswI,Opalys,,BluDoor,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",431.0,23000.0,contact431@elivaas.com
Horizon ResidencyNerul Unit 737,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Horizon ResidencyNerul Unit 737 Factsheet.docx,Yes,,,"WAVES, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,HORIZON RESIDENCYNERUL UNIT 737 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1RA4E0020_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Horizon ResidencyNerul Unit 737 - HOME GUIDE.pdf,Horizon ResidencyNerul Unit 737 - HOME GUIDE.pdf,Good To Go,,Horizon ResidencyNerul Unit 737 - Set Menu.pdf,Horizon ResidencyNerul Unit 737 - Set Menu.pdf,Indah Walkthrough.mp4,Dahlia Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3SHbjNQ,Opalys,,Villa 6,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",432.0,24500.0,contact432@elivaas.com
Ivory CourtNerul Unit 860,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Ivory CourtNerul Unit 860 Factsheet.docx,Yes,,,PINKSKY LISTING CONTENT,Done,BLUDOOR WEBSITE SPACES SECTION,Done,IVORY COURTNERUL UNIT 860 BROCHURE.docx,Done,Done,ELIVAAS PinkSky_4-BHK_Detailed brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Ivory CourtNerul Unit 860 - HOME GUIDE.pdf,Ivory CourtNerul Unit 860 - HOME GUIDE.pdf,Good To Go,,Ivory CourtNerul Unit 860 - Set Menu.pdf,Ivory CourtNerul Unit 860 - Set Menu.pdf,Dahlia Walkthrough.mp4,Dahlia Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3uEuOP6,Cloud 7  Shells,,Panache - 3BHK Arpora,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/",433.0,20000.0,contact433@elivaas.com
